Name,ID,Industry
ABB India Limited,ABB,Heavy Electrical Equipment
AEGIS LOGISTICS LTD.,AEGISLOG,Trading - Gas
AMARA RAJA BATTERIES LTD.,AMARAJABAT,Batteries - Automobile
AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,Pharmaceuticals
HOUSING DEVELOPMENT FINANCE CORP.LTD.,HDFC,Housing Finance Company
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,Commodity Chemicals
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI,Residential- Commercial Projects
Utique Enterprises Ltd,UTIQUE,Non Banking Financial Company (NBFC)
ARUNA HOTELS LTD.,ARUNAHTEL,Hotels & Resorts
BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,Other Textile Products
Asian Hotels (North) Limited,ASIANHOTNR,Hotels & Resorts
ATUL LTD.,ATUL,Specialty Chemicals
ATV PROJECTS INDIA LTD.,ATVPR,Industrial Equipments
BAJAJ ELECTRICALS LTD.-$,BAJAJELEC,Household Appliances
Bajaj Hindusthan Sugar Limited,BAJAJHIND,Sugar
FORCE MOTORS LTD.-$,FORCEMOT,Passenger Cars & Utility Vehicles
Bajaj Finance Limited,BAJFINANCE,Non Banking Financial Company (NBFC)
BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN,Sugar
BANCO PRODUCTS (INDIA) LTD.-$,BANCOINDIA,Auto Components & Equipments
CENTURY TEXTILES & INDUSTRIES LTD.,CENTURYTEX,Paper & Paper Products
BANNARI AMMAN SUGARS LTD.,BANARISUG,Sugar
BASF INDIA LTD.,BASF,Specialty Chemicals
BATA INDIA LTD.,BATAINDIA,Footwear
BEML LTD.,BEML,Construction Vehicles
BHARAT ELECTRONICS LTD.,BEL,Aerospace & Defense
BHANSALI ENGINEERING POLYMERS LTD.-$,BEPL,Specialty Chemicals
BIHAR SPONGE IRON LTD.,BIHSPONG,Sponge Iron
Birla Cable Ltd,BIRLACABLE,Telecom -  Equipment & Accessories
BLUE STAR LTD.,BLUESTARCO,Air Conditioner
DISA INDIA LTD.,DISAQ,Industrial Machinery
Quest Capital Markets Ltd,QUESTCAP,Other Capital Market related Services
BPL LTD.,BPL,Consumer Electronics
Oriental Aromatics Ltd-$,OAL,Specialty Chemicals
CENTURY EXTRUSIONS LTD.,CENTEXT,Aluminium- Copper & Zinc Products
CESC LTD.,CESC,Electric Utilities
CHAMBAL FERTILISERS & CHEMICALS LTD.,CHAMBLFERT,Fertilizers
EXIDE INDUSTRIES LTD.,EXIDEIND,Batteries - Automobile
CIPLA LTD.,CIPLA,Pharmaceuticals
DIC INDIA LTD.,DICIND,Printing Inks
CRISIL LTD.,CRISIL,Other Financial Services
CG Power and Industrial Solutions Ltd,CGPOWER,Heavy Electrical Equipment
DABUR INDIA LTD.,DABUR,Personal Care
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Sugar
ARVIND LTD.,ARVIND,Garments & Apparels
BALLARPUR INDUSTRIES LTD.,BALLARPUR,Paper & Paper Products
BHARAT HEAVY ELECTRICALS LTD.,BHEL,Heavy Electrical Equipment
